loss drivers,year,tree_cover_loss_ha
Logging,2024,74903.35
Permanent agriculture,2003,136238.56
Unknown,2012,697.25
Other natural disturbances,2012,2482.29
Logging,2022,55846.56
Settlements & Infrastructure,2020,4908.69
Hard commodities,2005,2791.66
Permanent agriculture,2015,312093.39
Unknown,2019,65.45
Other natural disturbances,2020,930.42
Other natural disturbances,2006,463.61
Other natural disturbances,2017,2488.21
Hard commodities,2015,6677.31
Unknown,2011,259.44
Unknown,2008,205.59
Logging,2025,82319.23
Unknown,2024,84.16
Settlements & Infrastructure,2006,7165.46
Unknown,2010,288.46
Shifting cultivation,2023,8588.65
Permanent agriculture,2006,258141.66
Wildfire,2012,3030.69
Shifting cultivation,2002,7091.06
Hard commodities,2019,4158.63
Permanent agriculture,2009,497555.42
Wildfire,2017,5088.24
Settlements & Infrastructure,2004,9501.56
Other natural disturbances,2002,596.43
Unknown,2013,140.30
Settlements & Infrastructure,2003,4327.72
Shifting cultivation,2020,7061.64
Unknown,2018,99.37
Settlements & Infrastructure,2013,3872.42
Settlements & Infrastructure,2007,8032.36
Shifting cultivation,2004,7560.49
Other natural disturbances,2022,1435.47
Permanent agriculture,2016,377221.99
Permanent agriculture,2011,364849.06
Logging,2021,48776.34
Shifting cultivation,2024,7462.95
Logging,2008,72450.44
Settlements & Infrastructure,2005,7473.20
Settlements & Infrastructure,2010,8526.81
Logging,2017,126149.75
Shifting cultivation,2007,7288.92
Unknown,2007,223.18
Shifting cultivation,2021,9562.95
Unknown,2009,269.71
Logging,2002,36631.44
Hard commodities,2017,6476.51
Wildfire,2019,3395.05
Logging,2009,94779.47
Settlements & Infrastructure,2002,6777.55
Other natural disturbances,2025,2274.52
Hard commodities,2002,2411.82
Settlements & Infrastructure,2025,4967.04
Unknown,2022,141.73
Other natural disturbances,2004,471.43
Permanent agriculture,2022,173858.43
Shifting cultivation,2011,6429.14
Shifting cultivation,2022,7134.21
Hard commodities,2016,8707.62
Settlements & Infrastructure,2015,7431.73
Settlements & Infrastructure,2018,7012.46
Other natural disturbances,2013,1283.77
Hard commodities,2018,5335.64
Shifting cultivation,2019,8076.33
Unknown,2017,370.11
Hard commodities,2011,27350.86
Shifting cultivation,2003,5467.81
Permanent agriculture,2018,290056.25
Wildfire,2006,942.42
Settlements & Infrastructure,2021,5529.72
Shifting cultivation,2016,13156.01
Hard commodities,2013,6480.29
Other natural disturbances,2005,747.13
Logging,2007,79535.42
Logging,2015,107093.50
Wildfire,2002,746.64
Wildfire,2023,1134.01
Permanent agriculture,2023,206969.35
Permanent agriculture,2021,205875.44
Settlements & Infrastructure,2001,6288.53
Unknown,2014,332.97
Shifting cultivation,2005,7820.69
Shifting cultivation,2008,7932.88
Hard commodities,2007,4238.80
Hard commodities,2020,3836.72
Logging,2012,107676.79
Shifting cultivation,2012,9073.19
Hard commodities,2024,6991.10
Shifting cultivation,2009,9638.62
Wildfire,2022,947.39
Permanent agriculture,2013,264399.90
Shifting cultivation,2013,6204.37
Other natural disturbances,2021,1249.79
Hard commodities,2014,26198.03
Shifting cultivation,2010,6979.11
Settlements & Infrastructure,2019,7323.00
Settlements & Infrastructure,2016,10888.12
Logging,2014,130863.98
Settlements & Infrastructure,2024,5463.74
Permanent agriculture,2005,300045.73
Logging,2005,54507.20
Permanent agriculture,2008,277062.17
Logging,2001,51116.08
Hard commodities,2022,4997.25
Hard commodities,2021,5554.29
Other natural disturbances,2010,907.31
Unknown,2025,95.86
Logging,2019,101141.51
Hard commodities,2012,21154.63
Unknown,2023,68.15
Wildfire,2010,1398.29
Unknown,2002,247.87
Settlements & Infrastructure,2008,5785.33
Hard commodities,2010,5083.16
Permanent agriculture,2025,157919.48
Other natural disturbances,2009,1348.43
Hard commodities,2001,2445.60
Wildfire,2007,1458.13
Logging,2023,78860.67
Settlements & Infrastructure,2022,3766.05
Settlements & Infrastructure,2014,12139.45
Permanent agriculture,2012,474973.90
Unknown,2003,147.28
Unknown,2016,228.81
Other natural disturbances,2016,3926.02
Hard commodities,2008,3556.21
Logging,2006,56497.69
Unknown,2006,210.92
Unknown,2020,82.48
Permanent agriculture,2020,195633.40
Permanent agriculture,2004,264328.46
Permanent agriculture,2002,258338.33
Settlements & Infrastructure,2009,10649.47
Hard commodities,2025,7039.91
Wildfire,2009,3019.04
Other natural disturbances,2015,4621.07
Wildfire,2001,898.21
Hard commodities,2004,2796.98
Shifting cultivation,2025,6934.79
Shifting cultivation,2017,11497.79
Wildfire,2024,2883.20
Wildfire,2005,2141.92
Permanent agriculture,2014,449080.46
Permanent agriculture,2017,322358.29
Permanent agriculture,2010,350039.19
Settlements & Infrastructure,2023,5274.45
Wildfire,2004,1643.97
Permanent agriculture,2001,263761.35
Unknown,2021,97.37
Logging,2013,49275.19
Settlements & Infrastructure,2011,6813.39
Permanent agriculture,2007,304234.14
Other natural disturbances,2001,528.41
Wildfire,2025,1703.11
Wildfire,2011,1235.90
Shifting cultivation,2015,11311.24
Wildfire,2003,607.65
Wildfire,2016,14128.65
Wildfire,2021,951.42
Other natural disturbances,2019,1018.62
Wildfire,2015,4817.04
Unknown,2015,445.55
Permanent agriculture,2024,182362.61
Unknown,2001,343.85
Shifting cultivation,2018,9075.87
Logging,2016,137295.89
Other natural disturbances,2008,646.20
Shifting cultivation,2006,7191.26
Other natural disturbances,2018,1584.73
Hard commodities,2006,3913.35
Unknown,2005,230.86
Other natural disturbances,2011,987.49
Other natural disturbances,2007,680.84
Permanent agriculture,2019,270225.98
Hard commodities,2009,5832.58
Wildfire,2013,1705.33
Settlements & Infrastructure,2017,9070.30
Wildfire,2014,9103.63
Hard commodities,2003,1505.31
Logging,2004,65475.44
Logging,2018,121939.00
Other natural disturbances,2014,4108.01
Other natural disturbances,2023,1651.43
Other natural disturbances,2003,276.79
Logging,2010,57728.34
Logging,2020,54823.09
Wildfire,2020,1498.62
Shifting cultivation,2001,7423.93
Settlements & Infrastructure,2012,9294.54
Other natural disturbances,2024,2382.47
Logging,2003,35486.57
Unknown,2004,225.62
Shifting cultivation,2014,14200.44
Logging,2011,55224.92
Wildfire,2008,621.01
Wildfire,2018,2906.14
Hard commodities,2023,6108.81